Refran	Significado	Uso
Mujer hermosa, viña e higueral, muy malas son de guardar	Alude al cuidado y vigilancia que se debe tener con los bienes y con la esposa, pues siempre puede haber desalmados que pretendan robar los bienes o aprovecharse de la esposa de otro.	En desuso
Mujer muerta, casa deshecha	La experiencia demuestra que si fallece la esposa, la madre o la mujer que se ocupa del gobierno de una casa, ésta se descompone y decae al faltar quien se ocupe de ella y sepa llevar con buen criterio y con amor la marcha de un hogar.	En desuso
Mujer, viento, tiempo y fortuna, presto se muda	Este refrán, de evidente sentido misógino, alude a la inestabilidad que puede producirse en la meteorología, la fortuna, al tiempo que equipara esta inestabilidad con el carácter de la mujer.	En desuso
Mundo redondo, quien no sabe nadar, vase al fondo	Advierte que para vivir y sobrevivirhay que recurrir no sólo a la inteligencia sino también a la picardía, a la astucia.	En desuso
Nadie da lo que no tiene	Da a entender que no se puede entregar lo que no se posee, ni se puede exigir de nadie que dé más de lo que puede.	En desuso
Nadie se alabe hasta que acabe	Recomienda estar seguros de haber finalizado bien algo antes de regocijarnos por algo.	En desuso
Necios y porfiados hacen ricos a los letrados	Denota que muchos pleitos se siguen no por justicia sino por tenacidad y, con frecuencia se llevan con poca razón.	En desuso
Ni a rico debas ni a pobre prometas	No conviene comprometerse con una gran deuda ni ser pródigo con quienes no cesan de pedir aduciendo necesidad.	En desuso
Ni boda sin canto ni mortuorio sin llanto	Advierte que todo tiene su parte negativa y su parte positiva, por lo que no se puede alcanzar la felicidad completa.	En desuso
Ni en la cama ni en la mesa es útil la vergüenza	Recomienda ser valeroso y alejar lo más lejos posible la vergüenza, con el objeto de no ser un dormido, pero sin mostrar exceso de desenvoltura, que al cabo enfada y se critica.	En desuso
Ni espero ni creo más de lo que veo	Expresa desconfianza de las promesas que hacen los humanos.	En desuso
Ni fía ni porfía, ni entres en cofradía	Recomienda no prestar dinero o algo de valor, no insistir ni obligarse a las normas de un grupo, ya que de todo ello se derivan situaciones desagradables.	En desuso
Ni firmes carta que no leas ni bebas agua que no veas	Recomienda ser prudente en todo momento y, de modo muy especial, antes de firmar un escrito o de tomar alguna bebida de origen incierto.	En desuso
Ni mesa sin pan, ni ejército sin capitán	Del mismo modo que se considera necesario el pan, resulta imprescindible que una colectividad esté dirigida por alguien. En general, recomienda no prescindir de lo principal.	En desuso
Ni moza fea ni vieja hermosa	La juventud, pese a ser pasajera, siempre tiene su atractivo. En cambio, la vejez carece de atractivo.	En desuso
Ni olla sin tocino ni sermón sin agustino	Advierte que el tocino da buen sabor a un cocido, del mismo modo que un buen predicador debe valerse de la doctrina de San Agustín, si quiere hablar con fundamento teológico. Se emplea para explicar que algo no es perfecto porque falta lo esencial o para criticar a quien siempre habla de lo mismo. Se puede utilizar también con un sentido irónico, para motejar a quien siempre habla de lo mismo.	En desuso
Ni sábado sin sol ni mocita sin amor	Alude a lo que sucede de forma regular y frecuente en períodos determinados, como el amor en la juventud, el rostro enrojecido en la vejez, el padecimiento de algún mal en la vejez, el buen tiempo en el sábado, el día destinado al descanso.	En desuso
Ni se muere padre ni cenamos	Con esta frase se señala que no se produce la resolución de un asunto del que depende la de otro, por lo que ni se hace una cosa ni otra.	En desuso
Ni tomes cohecho ni pierdas derecho	Para conseguir algo no hay que tener tratos pocos limpios, pero tampoco se debe renunciar a los derechos legítimos. Sin perder lo que le pertenece, debe lograr algo siempre que le corresponda.	En desuso
Ni tras pared ni tras seto, digas tu secreto	Recomienda discreción en el hablar en todo momento, incluso si se está seguro de que nadie le oye.	En desuso
Ni virtud en la juventud ni en la vejez salud	Conviene ser realistas y no pedir cosas imposibles cuando no es el momento adecuado.	En desuso
Ni yerba en el trigo ni sospecha en el amigo	Aconseja evitar tanto la mala hierba en el trigo como culaquier duda sobre una amistad.	En desuso
No cojas la pera hasta que esté madura	Aconseja esperar el tiempo que haga falta para que llegue el momento oportuno.	En desuso
No con quien naces sino con quien paces	En lo que se refiere a las costumbres, hacen más las compañías que el linaje y la crianza.	En desuso
No es menos saber guardar que saber ganar	Anima a ahorrar parte de lo que se ha conseguido con esfuerzo.	En desuso
No es mucho perder un boquerón para pescar un salmón	En ocasionees, para lograr algo importante, se debe estar dispuesto a gastar una cantidad no muy grande.	En desuso
No hay amor feo, si es querido con deseo	Se refiere al afecto que es capaz de ver sólo las cualidades de la persona amada y de obviar lo negativo, hasta la posible fealdad física.	En desuso
No hay caballo, por bueno que sea, que no tropiece	Da a entender que todos podemos cometer errores, por muy experimentados que seamos.	En desuso
No hay carne sin hueso	Todo tiene su parte negativa, su parte triste, por lo que no queda más remedio que aceptarlo como es.	En desuso
No hay cerradura segura si es de oro la ganzúa	Denota lo mucho que puede el dinero.	En desuso
No hay cielo sin nubes, ni paraíso sin serpiente	No hay felicidad completa en este mundo, pues todo tiene su parte alegre y su parte triste.	En desuso
No hay contento sin su descuento	Este refrán indica que no se puede estar del todo contento, porque siempre suele haber algún problema que resolver o porque sobreviene alguna desgracia.	En desuso
No hay cosa más barata que la que se compra	Con frecuencia resultan más costosos los regalos que lo adquirido con dinero, porque se debe corresponder a los obsequios.	En desuso
No hay día sin acedía	Da a entender que todos los días traen consigo algún disgusto o preocupación. No hay día sina algún contratiempo o infortunio.	En desuso
No hay harina sin salvado	No se puede tener todo en esta vida, pues todo tiene sus inconvenientes.	En desuso
No hay hermosura sin ayuda	La vestimenta, el maquillaje y otros elementso contrinuyen a mejorar el aspecto físico.	En desuso
No hay mayor dificultad que la poca voluntad	Para acomenter cualquier empresa es indispensable la voluntad, desearlo.	En desuso
No hay mejor ahorrar que poco gastar	Para ahorrar es indispensable reducir gastos.	En desuso
No hay mejor maestra que el hambre	El aprendizaje necesita estímulos y uno de los mejores estímulos es la necesidad, pues hay personas que, cuando se encuentran en apuros, hacen gala de un ingenio del que carecen en situaciones normales.	En desuso
No hay miel sin hiel	Alude a la poca duración de los bienes humanos, pues, tras un acontecimiento feliz y próspero sigue, por lo general, otro triste y desgraciado.	En desuso
No hay mula sin tacha alguna	En este mundo, todo tiene alguna imperfección, por lo que conviene ser tolerantes y tomar las cosas como son.	En desuso
No hay necesidad de enseñar al gato a arañar	No es necesario aprender lo que se tiene innato o lo que se sabe por naturaleza.	En desuso
No hay nublado que dure un año	Alude a los constantes cambios de las cosas terrenas, en este caso las desgracias, pues no duran siempre.	En desuso
No hay palabra mal dicha si no fuese mal entendida	Recrimina a quien por maldad o mala intención da una interpretación muy distinta a algo que se dijo con buena intención o sin malicia.	En desuso
No hay pan sin afán	Es preciso trabajar para conseguir algo bueno.	En desuso
No hay placer do no hay comer	Alude a la relación que existe entre estar feliz y bien alimentado.	En desuso
No hay plazo que no llegue, ni deuda que no se pague	Reprende la imprudencia del que promete ejecutar algo confiando en el plazo que se le concede, y el engaño de quienes actuando mal se creen impunes.	En desuso
No hay predicador como Fray Ejemplo	Si se quiere convencer a los demás de algo,debemos practicarlo nosotros primeros.	En desuso
No hay primavera sin flores ni verano sin calores	Alude a la obviedad de algunos hechos, del orden lógico que poseen algunas cosas.	En desuso
No hay que extender la pierna más que lo que da de sí la sábana	Recomienda limitarse a los gastos que uno pueda asumir y no excederse. En general, aconsje ano sobrepasara sus posibilidades ni pretensiones.	En desuso
No hay que llorar al muerto sino al vivo	Dado que los muertos ya no sufren y los vivos sí hay que preocuparse por los últimos.	En desuso
No hay vida sin muerte, ni placer sin pesar	Alude a la imposibilidad de alcanzar la dicha completa, porque siempre hay algún perjuicio o algún sinsabor.	En desuso
No mata la carga, sino la sobrecarga	Tanto la resistencia física como la capacidad mental tiene sus límites y, si se cometen excesos, se llega al agotamiento.	En desuso
No se acuerda el cura de cuando fue sacristán	Se recrimina a quien castiga o reprende con severidad los fallos de las personas a su cargo, pese a que él también los cometía no hace mucho, cuando estaba en la misma categoría profesional.	En desuso
No seáis hornera si tenéis la cabeza de cera	Exhorta a no encargarse de una actividad que no puede desarrollar.	En desuso
No se gana el pan sin afán	Para lograr algo, como el sustento, se debe trabajar y esforzarse.	En desuso
No se pescan truchas a bragas enjutas	Lo que es valioso o estimado requiere esfuerzo y diligencia, incluso molestias, del mismo modo que cuando se quiere pescar uno se moja, como sucede con la pesca de la trucha.	En desuso
No se puede chiflar y beber agua	No se puede hacer al mismo tiempo dos cosas incompatibles.	En desuso
No son todos los dedos de la mano iguales	Denota la diferencia que existe entre las personas y los estados.	En desuso
No te rías del mal de vecino, que el tuyo viene de camino	Recomienda prudencia en las burlas que se emiten a los demás, pues pueden recaer sobre uno mismo.	En desuso
No toda palabra requiere respuesta	Recomienda discreción y calma cuando se trata de encajar alguna crítica.	En desuso
No todas las verdades son para dichas	Recuerda que hay ocasiones en las que no conviene decir la verdad.	En desuso
Nuevo rey, nueva ley	Recurda que resulta lógico que hayan cambios cuando se produce un cambio de poder, por lo que recomienda adaptarse a ellos lo antes posible.	En desuso
Obra hecha, venta espera	Alude a que todo esfuerzo merece su recompensa.	En desuso
Ochavo a ochavo, se junta un ducado	Exhorta al ahorro diario como medio para llegar a reunir un caudal importante.	En desuso
Oficio, bueno o malo, da de comer a su amo	Lo más importante de tener un trabajo está en los beneficios que reporta para sustentarse.	En desuso
Oír, ver y callar, recias cosas son de obrar	Aconseja poner mucho cuidado en estas tres cosas, por lo difícil que resulta hacerlo.	En desuso
Ojos verdes, duques y reyes	Lo que resulta raro o poco corriente puede considerarse atractivo, como los ojos verdes, tenidos por señal de distinción de clase.	En desuso
